"","cond((Int))","zi((Int))","disp((Int))","cond(scale(doy))","cond(I(scale(doy)^2))","cond(scale(obs.hours))","cond(scale(pressure))","cond(scale(tsm))","cond(scale(wind.dir.cos))","cond(scale(wind.dir.sin))","cond(scale(wind.speed))","cond(scale(year))","df","logLik","AICc","delta","weight"
"1",4.60892927428394,-3.20463102987975,"+",0.4581874513813,-0.471465841274719,0.600679000802374,0.178659245277864,NA,NA,NA,-0.112676494006283,NA,9,-3247.43363164783,6513.17131734971,0,0.171949902304626
"2",4.61028601328462,-3.18759372246374,"+",0.455714926314718,-0.465378450641754,0.623670298761348,0.18094881275261,0.0530385003095525,NA,NA,-0.109418757852823,NA,10,-3246.9045732218,6514.18139686661,1.01007951689826,0.103768598974397
"3",4.59965101968796,-3.20489347770271,"+",0.457495282048272,-0.468317716370877,0.598922794117337,0.178018079421627,NA,NA,-0.033715923516588,-0.112006182658014,NA,10,-3247.10184850413,6514.57594743128,1.40463008156348,0.0851903468841722
"4",4.60948770581055,-3.2020231602612,"+",0.456992483972379,-0.47044723699992,0.600180517629208,0.178758052118851,NA,-0.0180209190570401,NA,-0.11173063735977,NA,10,-3247.33679412782,6515.04583867865,1.87452132893577,0.0673526672065859
"5",4.60788564503436,-3.20500736164589,"+",0.458072119479524,-0.471595466614291,0.599653133970327,0.177856440281917,NA,NA,NA,-0.112177098563934,-0.00875423400437359,10,-3247.42589053914,6515.2240315013,2.05271415158586,0.0616113491442171
"6",4.60164001627875,-3.18845536092767,"+",0.455134362063907,-0.462739328522573,0.620913692328042,0.180216676213928,0.0505517277147742,NA,-0.0311947531886466,-0.108906734559794,NA,11,-3246.62080393036,6515.68906548783,2.51774813811608,0.0488292295460732
"7",4.6190945352287,-3.21328151155365,"+",0.411325738293646,-0.478664233177985,0.605439524106026,0.207703724606074,NA,NA,NA,NA,NA,8,-3249.77093789548,6515.78470884323,2.61339149351352,0.0465490884778457
"8",4.61075174787636,-3.18559235756771,"+",0.454698944299626,-0.464616547290676,0.622665323505682,0.180988676551581,0.0518669110437749,-0.0156619146234064,NA,-0.108630069277605,NA,11,-3246.83146398163,6516.11038559038,2.93906824066653,0.0395540878686558
"9",4.61195088761594,-3.18602876379209,"+",0.455739138351864,-0.464826994535521,0.626592815166757,0.182333475028706,0.0559612454166495,NA,NA,-0.1099548523315,0.0137395815664569,11,-3246.88705376144,6516.22156515,3.05024780029089,0.0374152834211511
"10",4.60007198981935,-3.20206656852269,"+",0.456214818453683,-0.467132792148963,0.598272053771914,0.17809391974196,NA,-0.0194322445303381,-0.0345151321345942,-0.111058440594463,NA,11,-3246.98914940399,6516.42575643509,3.25443908537909,0.0337838752830606
"11",4.62040877568478,-3.19293298863009,"+",0.409941632620288,-0.471465332824594,0.631118884046714,0.209105702661319,0.0592886709990453,NA,NA,NA,NA,9,-3249.11033797036,6516.52472999477,3.35341264505587,0.0321527134299858
"12",4.59814252769099,-3.2054308885418,"+",0.457333868969213,-0.468447646237231,0.597493696454393,0.17691504169328,NA,NA,-0.0340953403349233,-0.111372303149307,-0.0119428816655577,11,-3247.08759608993,6516.62264980698,3.45133245726174,0.0306164345042016
"13",4.60889116201274,-3.20227056268856,"+",0.45694059727012,-0.470544055961923,0.599575379357466,0.178276773558363,NA,-0.0176652444231066,NA,-0.111456408129903,-0.00519424687796191,11,-3247.33410963825,6517.11567690362,3.94435955390873,0.0239273795654025
"14",4.60925210925729,-3.21391355847549,"+",0.410776565228827,-0.475392165628581,0.603617539098308,0.207070850941922,NA,NA,-0.0349521209529229,NA,NA,9,-3249.41871743686,6517.14148892778,3.97017157806749,0.0236205567043004
